country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Newman,10,-23.35,119.75,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2059,1,1,0,0,33.6,-154,0.0,11.0,0,0,0,0,0,936.7,45,6.8,128,,
2059,1,1,1,0,32.8,-140,0.0,12.1,0,0,0,0,0,936.8,39,7.1,121,,
2059,1,1,2,0,31.9,-129,0.0,13.7,0,0,0,0,0,937.2,35,7.0,111,,
2059,1,1,3,0,31.1,-121,0.0,15.3,1,7,1,1,0,937.6,32,6.9,100,,
2059,1,1,4,0,31.2,-115,0.3,16.6,22,246,26,48,0,938.0,35,7.2,88,,
2059,1,1,5,0,32.1,-109,12.5,17.6,109,298,72,181,0,938.3,41,7.7,75,,
2059,1,1,6,0,33.1,-105,11.3,18.5,152,495,248,400,0,938.6,46,8.4,62,,
2059,1,1,7,0,34.1,-101,2.6,18.5,109,803,539,647,0,938.7,49,8.9,49,,
2059,1,1,8,0,35.2,-97,0.0,17.9,93,923,750,843,0,938.6,50,9.4,35,,
2059,1,1,9,0,36.3,-94,0.0,17.2,102,943,872,974,0,938.5,51,9.9,21,,
2059,1,1,10,0,37.1,-89,0.0,16.5,111,946,931,1042,0,938.2,51,10.2,8,,
2059,1,1,11,0,37.8,89,0.6,16.0,123,925,915,1038,0,937.7,50,10.2,8,,
2059,1,1,12,0,38.4,94,20.9,15.5,405,388,374,779,0,937.3,49,10.2,20,,
2059,1,1,13,0,38.2,97,10.5,15.4,251,632,502,753,0,937.0,48,9.9,34,,
2059,1,1,14,0,37.5,101,0.1,15.6,95,853,578,673,0,937.0,46,9.4,47,,
2059,1,1,15,0,36.8,104,3.1,15.9,101,689,348,448,0,937.0,44,8.8,61,,
2059,1,1,16,0,35.8,109,15.4,16.2,100,291,106,206,0,937.3,41,8.3,74,,
2059,1,1,17,0,34.7,114,7.0,16.7,33,43,9,42,0,937.9,36,7.9,87,,
2059,1,1,18,0,33.6,120,0.0,17.2,0,0,0,0,0,938.4,30,7.5,99,,
2059,1,1,19,0,32.8,128,0.0,17.6,0,0,0,0,0,939.0,23,7.3,110,,
2059,1,1,20,0,32.1,139,0.0,17.9,0,0,0,0,0,939.5,15,7.3,120,,
2059,1,1,21,0,31.4,153,0.0,18.2,0,0,0,0,0,940.0,8,7.4,128,,
2059,1,1,22,0,30.6,170,0.0,18.8,0,0,0,0,0,940.2,4,7.3,132,,
2059,1,1,23,0,29.5,-172,0.0,19.5,0,0,0,0,0,940.2,2,7.1,133,,
2059,1,2,0,0,28.5,-155,0.0,20.1,0,0,0,0,0,940.2,2,6.7,129,,
2059,1,2,1,0,27.7,-140,0.0,20.6,0,0,0,0,0,940.4,359,6.4,121,,
2059,1,2,2,0,27.0,-129,0.0,21.0,0,0,0,0,0,940.7,358,6.0,111,,
2059,1,2,3,0,26.4,-121,0.3,21.3,1,1,0,1,0,941.0,356,5.5,100,,
2059,1,2,4,0,26.9,-115,11.0,21.5,31,52,8,38,0,941.4,356,5.1,88,,
2059,1,2,5,0,28.1,-109,6.2,21.6,63,446,138,201,0,941.7,357,4.8,75,,
2059,1,2,6,0,29.4,-105,22.8,21.7,233,237,84,316,0,942.0,358,4.5,62,,
2059,1,2,7,0,30.8,-101,12.9,21.3,174,568,403,577,0,942.0,360,4.4,49,,
2059,1,2,8,0,32.3,-97,49.0,20.5,193,286,205,396,0,941.8,1,4.5,35,,
2059,1,2,9,0,33.8,-94,39.9,19.6,415,185,177,593,0,941.6,3,4.6,22,,
2059,1,2,10,0,34.8,-88,7.8,19.0,254,707,702,955,0,941.2,6,4.7,8,,
