country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,10,-24.327077,151.951904,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith
2014,1,1,0,0,25.6,-169,0.0,22.5,0,0,0,0,0.0,999.7,57,3.3,131
2014,1,1,1,0,25.4,-152,0.0,22.5,0,0,0,0,0.0,999.7,62,3.0,127
2014,1,1,2,0,25.3,-139,0.0,22.4,0,0,0,0,0.0,999.8,68,2.7,119
2014,1,1,3,0,25.1,-128,0.0,22.4,0,0,0,0,0.0,999.8,75,2.4,109
2014,1,1,4,0,25.0,-120,0.3,22.3,1,0,0,1,0.0,1000.3,86,2.4,98
2014,1,1,5,0,24.9,-114,12.5,22.1,47,8,3,50,0.0,1001.0,99,2.6,86
2014,1,1,6,0,24.7,-108,9.0,21.9,110,306,111,220,0.0,1001.7,109,2.9,73
2014,1,1,7,0,25.1,-104,15.2,21.8,250,291,135,385,0.0,1002.1,112,3.2,60
2014,1,1,8,0,25.9,-100,15.5,21.9,320,368,262,581,0.0,1002.1,113,3.6,46
2014,1,1,9,0,26.7,-95,13.4,22.0,378,440,366,745,0.0,1002.1,112,3.9,33
2014,1,1,10,0,26.9,-90,13.6,21.9,452,418,392,844,0.0,1002.0,110,4.2,19
2014,1,1,11,0,26.8,-62,11.7,21.7,451,469,464,915,0.0,1001.9,106,4.6,6
2014,1,1,12,0,26.5,60,3.8,21.4,299,706,692,991,0.0,1001.7,103,5.0,9
2014,1,1,13,0,26.4,91,6.8,21.3,333,603,561,894,0.0,1001.5,101,5.3,22
2014,1,1,14,0,26.5,96,9.7,21.3,345,487,396,741,0.0,1001.3,100,5.6,35
2014,1,1,15,0,26.5,100,21.3,21.4,360,198,146,507,0.0,1001.1,99,5.8,49
2014,1,1,16,0,26.3,104,29.2,21.4,284,18,11,295,0.0,1001.1,99,5.9,62
2014,1,1,17,0,26.0,109,29.0,21.4,134,0,0,134,0.0,1001.4,99,6.0,75
2014,1,1,18,0,25.7,115,9.5,21.4,28,0,0,28,0.0,1001.8,100,6.0,88
2014,1,1,19,0,25.5,121,0.0,21.4,0,0,0,0,0.0,1002.1,101,5.9,100
2014,1,1,20,0,25.3,130,0.0,21.3,0,0,0,0,0.0,1002.4,102,5.7,111
2014,1,1,21,0,25.2,141,0.0,21.2,0,0,0,0,0.0,1002.6,104,5.4,121
2014,1,1,22,0,24.9,155,0.5,21.2,0,0,0,0,0.0,1002.5,104,5.2,128
2014,1,1,23,0,24.5,173,18.3,21.2,0,0,0,0,0.0,1002.2,104,4.9,132
2014,1,2,0,0,24.2,-169,27.2,21.2,0,0,0,0,0.0,1001.9,103,4.6,131
2014,1,2,1,0,23.9,-153,26.7,21.1,0,0,0,0,0.0,1001.6,102,4.3,127
2014,1,2,2,0,23.7,-139,8.9,21.1,0,0,0,0,0.0,1001.5,102,4.0,119
2014,1,2,3,0,23.5,-128,0.0,21.0,0,0,0,0,0.0,1001.3,101,3.7,109
2014,1,2,4,0,23.4,-120,0.8,20.9,1,0,0,1,0.0,1001.5,97,3.3,98
2014,1,2,5,0,23.5,-114,30.0,20.9,36,5,2,38,0.0,1001.8,90,2.8,86
2014,1,2,6,0,23.6,-108,25.2,20.8,134,189,69,202,0.0,1002.2,79,2.5,73
2014,1,2,7,0,24.3,-104,16.8,20.8,244,313,159,403,0.0,1002.2,65,2.0,60
2014,1,2,8,0,25.4,-99,14.4,20.7,298,442,309,607,0.0,1001.9,43,1.5,47
2014,1,2,9,0,26.6,-95,4.3,20.7,190,783,666,855,0.0,1001.5,12,1.5,33
2014,1,2,10,0,27.2,-90,0.3,20.3,140,931,872,1011,0.0,1001.1,5,1.7,19
2014,1,2,11,0,27.3,-62,9.1,19.9,325,661,649,974,0.0,1000.5,13,2.0,7
2014,1,2,12,0,27.4,60,4.6,19.4,238,792,776,1014,0.0,999.9,20,2.4,9
2014,1,2,13,0,27.4,91,0.1,19.4,152,899,830,983,0.0,999.3,25,2.9,22
2014,1,2,14,0,27.4,96,2.8,19.7,190,769,630,821,0.0,998.7,29,3.5,35
2014,1,2,15,0,27.3,100,21.4,20.1,320,273,203,523,0.0,998.0,31,4.1,49
2014,1,2,16,0,26.9,104,18.3,20.3,246,231,94,340,0.0,997.9,31,4.5,62
2014,1,2,17,0,26.4,109,4.1,20.5,99,346,87,186,0.0,998.1,30,4.6,75
2014,1,2,18,0,25.7,115,0.0,20.6,20,120,22,42,0.0,998.3,29,4.8,88
2014,1,2,19,0,25.4,121,0.0,20.9,0,0,0,0,0.0,998.6,29,4.7,100
2014,1,2,20,0,25.3,130,0.0,21.2,0,0,0,0,0.0,999.1,28,4.6,111
2014,1,2,21,0,25.2,141,0.0,21.6,0,0,0,0,0.0,999.5,28,4.4,121
2014,1,2,22,0,25.0,155,0.0,21.6,0,0,0,0,0.0,999.5,24,4.2,128
2014,1,2,23,0,24.5,172,0.0,21.5,0,0,0,0,0.0,999.1,16,4.2,132
2014,1,3,0,0,24.1,-169,0.0,21.3,0,0,0,0,0.0,998.7,8,4.2,131
2014,1,3,1,0,23.9,-153,0.0,21.3,0,0,0,0,0.0,998.3,0,4.2,127
2014,1,3,2,0,23.9,-139,0.0,21.3,0,0,0,0,0.0,997.9,353,4.3,119
2014,1,3,3,0,24.0,-128,0.0,21.3,0,0,0,0,0.0,997.6,346,4.5,109
2014,1,3,4,0,24.2,-120,0.4,21.3,1,0,0,1,0.0,997.6,340,4.7,98
2014,1,3,5,0,24.5,-114,15.4,21.4,46,6,2,48,0.0,997.8,335,4.8,86
2014,1,3,6,0,24.8,-108,15.7,21.5,128,214,78,206,0.0,998.1,330,5.0,73
2014,1,3,7,0,25.6,-104,9.0,21.7,185,467,243,428,0.0,998.1,326,5.0,60
2014,1,3,8,0,26.7,-99,2.5,22.0,157,737,514,672,0.0,997.8,323,4.9,47
2014,1,3,9,0,27.9,-95,0.0,22.3,146,865,720,866,0.0,997.5,320,4.7,33
2014,1,3,10,0,28.6,-90,0.0,22.2,159,890,833,992,0.0,997.1,323,4.6,20
2014,1,3,11,0,29.0,-62,0.0,21.8,167,899,888,1055,0.0,996.7,331,4.6,7
2014,1,3,12,0,29.3,59,0.0,21.4,168,895,880,1049,0.0,996.3,340,4.7,9
2014,1,3,13,0,29.4,91,0.0,21.3,164,877,810,974,0.0,995.8,347,5.0,22
2014,1,3,14,0,29.3,96,0.1,21.6,157,836,679,836,0.0,995.4,351,5.5,35
2014,1,3,15,0,29.1,100,3.2,21.8,177,678,452,629,0.0,995.0,355,5.9,49
2014,1,3,16,0,28.7,104,1.6,22.1,134,606,282,417,0.0,994.8,356,6.2,62
2014,1,3,17,0,28.0,109,0.0,22.4,76,431,124,199,0.0,994.8,356,6.2,75
2014,1,3,18,0,27.3,115,0.0,22.7,20,115,21,42,0.0,994.9,355,6.3,88
2014,1,3,19,0,26.8,121,0.0,22.9,0,0,0,0,0.0,995.0,354,6.3,100
2014,1,3,20,0,26.6,130,0.5,23.1,0,0,0,0,0.0,995.2,352,6.3,111
2014,1,3,21,0,26.3,141,16.3,23.2,0,0,0,0,0.0,995.3,350,6.4,121
2014,1,3,22,0,26.0,155,8.2,23.2,0,0,0,0,0.0,995.1,348,6.6,128
2014,1,3,23,0,25.8,172,0.0,23.1,0,0,0,0,0.0,994.7,346,6.9,132
2014,1,4,0,0,25.5,-169,0.0,23.0,0,0,0,0,0.0,994.2,343,7.2,131
2014,1,4,1,0,25.3,-153,0.0,22.9,0,0,0,0,0.0,993.8,341,7.4,127
2014,1,4,2,0,25.3,-139,0.0,22.8,0,0,0,0,0.0,993.5,339,7.6,119
