country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,7,-24.076559,117.108765,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2019,1,1,0,0,31.5,-157,0,0.1,0,0,0,0,0,957,201,3.9,129,,
2019,1,1,1,0,30.9,-143,0,0.4,0,0,0,0,0,957,199,3.7,122,,
2019,1,1,2,0,30.3,-131,0,0.7,0,0,0,0,0,957.5,195,3.4,113,,
2019,1,1,3,0,29.7,-122,0,1,0,0,0,0,0,957.9,191,3.1,102,,
2019,1,1,4,0,30.2,-115,0.9,1.4,10,73,7,17,0,958.4,181,2.9,90,,
2019,1,1,5,0,31.8,-110,0.8,1.9,57,564,130,186,0,959,166,2.8,77,,
2019,1,1,6,0,33.4,-105,3.4,2.5,111,704,301,412,0,959.5,151,2.9,64,,
2019,1,1,7,0,35.2,-101,2,2.4,121,840,530,651,0,959.6,140,2.8,51,,
2019,1,1,8,0,37,-97,2.2,1.7,144,887,705,849,0,959.3,130,2.4,37,,
2019,1,1,9,0,38.8,-93,0.9,0.9,131,964,880,1011,0,959.1,116,2,24,,
2019,1,1,10,0,40.3,-85,0,0.5,113,1015,996,1110,0,958.6,97,1.3,10,,
2019,1,1,11,0,41.4,59,1,0.5,138,982,978,1115,0,958,25,0.8,5,,
2019,1,1,12,0,42.5,91,3.6,0.5,187,887,847,1034,0,957.4,338,1.7,17,,
2019,1,1,13,0,43,95,11.2,0.6,298,635,546,844,0,957,320,2.6,31,,
2019,1,1,14,0,42.9,99,12.8,0.8,275,549,396,671,0,956.7,304,3.2,45,,
2019,1,1,15,0,42.8,103,21.4,1,276,284,153,428,0,956.4,294,4,58,,
2019,1,1,16,0,42,108,16.4,2,151,323,92,243,0,956.5,285,4.4,71,,
2019,1,1,17,0,40.4,113,1.4,3.8,32,290,42,74,0,956.9,274,4.3,84,,
2019,1,1,18,0,38.8,119,0,5.7,0,0,0,0,0,957.3,263,4.5,96,,
2019,1,1,19,0,37.2,127,0,6.5,0,0,0,0,0,957.8,252,4.6,108,,
2019,1,1,20,0,35.6,137,0,6.4,0,0,0,0,0,958.3,240,4.8,118,,
2019,1,1,21,0,34,150,0,6.3,0,0,0,0,0,958.8,229,5.2,126,,
2019,1,1,22,0,32.6,167,0,6.5,0,0,0,0,0,958.9,220,5.3,131,,
2019,1,1,23,0,31.4,-175,0,7.1,0,0,0,0,0,958.7,212,5.1,132,,
2019,1,2,0,0,30.3,-157,0,7.6,0,0,0,0,0,958.4,204,5.1,129,,
2019,1,2,1,0,29.3,-143,0,8,0,0,0,0,0,958.5,198,4.8,122,,
2019,1,2,2,0,28.5,-131,0,8.2,0,0,0,0,0,958.8,196,4.2,113,,
2019,1,2,3,0,27.7,-122,0,8.4,0,0,0,0,0,959.2,193,3.7,102,,
2019,1,2,4,0,28,-115,0,8.8,9,90,9,17,0,959.6,191,3.5,90,,
2019,1,2,5,0,29.4,-110,0,9.5,49,602,138,187,0,960,192,3.6,77,,
2019,1,2,6,0,30.9,-105,0,10.2,72,818,356,428,0,960.5,192,3.8,64,,
2019,1,2,7,0,32.6,-101,0,9.7,85,918,577,662,0,960.5,194,4,51,,
2019,1,2,8,0,34.6,-97,0,8.1,93,975,771,864,0,960.2,197,4.2,38,,
2019,1,2,9,0,36.6,-93,0,6.5,98,1007,919,1017,0,959.9,199,4.4,24,,
2019,1,2,10,0,38.2,-85,0,5.3,100,1025,1007,1106,0,959.4,204,4.5,10,,
2019,1,2,11,0,39.4,56,0,4.6,100,1029,1024,1124,0,958.9,211,4.7,5,,
2019,1,2,12,0,40.6,90,0,3.9,97,1021,972,1069,0,958.3,218,4.9,17,,
2019,1,2,13,0,41,95,0,3.2,91,1002,857,947,0,957.8,222,5.3,31,,
2019,1,2,14,0,40.8,99,0,2.7,83,962,684,768,0,957.5,222,5.9,45,,
2019,1,2,15,0,40.5,103,0,2.1,73,891,472,546,0,957.1,223,6.6,58,,
2019,1,2,16,0,39.4,108,0,2.3,58,752,245,303,0,957.2,221,6.9,71,,
2019,1,2,17,0,37.6,113,0.9,3.1,28,337,50,77,0,957.7,219,6.9,84,,
2019,1,2,18,0,35.8,119,0,3.9,0,0,0,0,0,958.3,216,6.9,96,,
2019,1,2,19,0,34.2,127,0,3.9,0,0,0,0,0,958.7,213,6.8,108,,
2019,1,2,20,0,32.8,137,0,3,0,0,0,0,0,959.1,210,6.7,118,,
2019,1,2,21,0,31.5,150,0,2.2,0,0,0,0,0,959.5,207,6.7,126,,
