country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,10,-41.05,145.91,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith
2059,1,1,0,0,9.0,-162,51.6,7.5,0,0,0,0,0,989.6,292,1.9,113
2059,1,1,1,0,9.2,-148,32.3,7.4,0,0,0,0,0,988.8,336,1.5,109
2059,1,1,2,0,9.3,-136,42.9,7.3,0,0,0,0,0,988.0,14,2.2,102
2059,1,1,3,0,10.0,-125,58.6,7.7,0,0,0,0,0,987.5,22,2.7,93
2059,1,1,4,0,10.9,-115,77.5,8.3,11,0,0,11,0,987.3,21,2.7,83
2059,1,1,5,0,11.9,-106,90.9,8.9,20,0,0,20,0,987.1,20,2.8,73
2059,1,1,6,0,12.5,-97,92.4,9.8,33,0,0,33,0,986.9,16,3.0,62
2059,1,1,7,0,12.8,-87,93.9,10.9,36,0,0,36,0,986.6,11,3.6,51
2059,1,1,8,0,13.1,-76,94.3,12.0,44,0,0,44,0,986.3,8,4.1,39
2059,1,1,9,0,13.6,-59,91.9,12.6,72,0,0,72,0,985.0,10,4.6,29
2059,1,1,10,0,14.4,-31,85.6,13.0,137,0,0,137,0,983.0,14,5.1,21
2059,1,1,11,0,15.2,8,77.8,13.3,215,0,0,215,0,980.9,17,5.6,19
2059,1,1,12,0,15.6,43,80.7,13.6,181,0,0,181,0,979.3,4,5.8,24
2059,1,1,13,0,15.8,66,89.2,14.0,94,0,0,94,0,978.2,342,6.6,33
2059,1,1,14,0,15.9,80,96.8,14.4,37,0,0,37,0,977.1,326,8.2,44
2059,1,1,15,0,15.9,91,87.5,14.7,65,0,0,65,0,976.5,315,8.6,55
2059,1,1,16,0,15.8,101,81.0,14.9,66,0,0,66,0,976.3,302,8.2,66
2059,1,1,17,0,15.7,110,83.2,15.1,29,0,0,29,0,976.1,289,8.1,77
2059,1,1,18,0,15.1,119,63.1,14.2,5,0,0,5,0,976.3,278,7.9,87
2059,1,1,19,0,14.1,129,18.4,12.6,0,0,0,0,0,976.9,270,7.6,97
2059,1,1,20,0,13.0,140,0.0,10.9,0,0,0,0,0,977.4,261,7.4,105
2059,1,1,21,0,12.2,153,0.0,9.8,0,0,0,0,0,977.8,257,7.5,111
2059,1,1,22,0,11.5,168,0.0,9.2,0,0,0,0,0,978.2,256,7.8,115
2059,1,1,23,0,10.9,-177,0.0,8.7,0,0,0,0,0,978.5,255,8.0,115
2059,1,2,0,0,10.7,-162,0.0,8.3,0,0,0,0,0,978.7,255,8.2,113
2059,1,2,1,0,10.8,-148,0.0,7.9,0,0,0,0,0,978.9,256,8.1,109
2059,1,2,2,0,10.9,-136,0.0,7.5,0,0,0,0,0,979.0,256,8.1,102
2059,1,2,3,0,11.3,-125,0.4,7.4,1,0,0,1,0,979.4,256,8.4,93
2059,1,2,4,0,11.9,-115,23.8,7.6,49,0,0,49,0,979.9,254,8.9,84
2059,1,2,5,0,12.4,-106,54.3,7.7,100,0,0,100,0,980.4,253,9.5,73
2059,1,2,6,0,13.4,-97,57.2,8.0,195,0,0,195,0,980.7,252,9.9,62
2059,1,2,7,0,14.6,-87,60.2,8.4,251,0,0,251,0,981.1,250,10.3,51
2059,1,2,8,0,15.9,-76,55.5,8.8,348,22,18,366,0,981.4,248,10.7,40
2059,1,2,9,0,16.4,-59,28.7,8.9,404,305,274,678,0,981.7,246,10.7,29
2059,1,2,10,0,16.3,-32,13.9,8.9,381,531,495,876,0,982.0,245,10.4,21
2059,1,2,11,0,16.3,8,4.7,8.8,207,826,781,988,0,982.3,244,10.2,19
2059,1,2,12,0,16.2,43,7.2,8.8,242,751,689,931,0,982.5,243,9.7,24
2059,1,2,13,0,16.2,66,12.5,8.9,313,571,480,793,0,982.7,241,9.2,33
2059,1,2,14,0,16.2,80,19.0,9.0,333,395,291,623,0,982.9,239,8.7,44
2059,1,2,15,0,15.9,91,8.0,9.0,169,671,364,532,0,983.1,238,7.9,55
2059,1,2,16,0,15.3,100,0.0,9.1,62,809,331,394,0,983.2,237,6.9,66
2059,1,2,17,0,14.8,109,0.0,9.1,44,625,151,196,0,983.3,237,6.0,77
2059,1,2,18,0,13.9,119,0.0,8.8,14,196,32,45,0,983.7,237,5.2,87
2059,1,2,19,0,12.7,129,0.0,8.3,0,0,0,0,0,984.1,238,4.5,97
2059,1,2,20,0,11.6,140,0.0,7.9,0,0,0,0,0,984.6,239,3.9,105
2059,1,2,21,0,11.0,153,0.0,7.8,0,0,0,0,0,984.6,240,3.5,111
2059,1,2,22,0,10.9,168,0.0,8.1,0,0,0,0,0,984.3,239,3.2,115
2059,1,2,23,0,10.8,-177,0.0,8.3,0,0,0,0,0,984.0,239,3.0,116
2059,1,3,0,0,10.7,-162,0.0,8.4,0,0,0,0,0,983.6,239,2.8,114
2059,1,3,1,0,10.6,-148,0.0,8.4,0,0,0,0,0,983.1,239,2.6,109
2059,1,3,2,0,10.6,-136,0.0,8.3,0,0,0,0,0,982.6,239,2.4,102
2059,1,3,3,0,10.6,-125,0.6,8.3,1,0,0,1,0,982.3,241,2.4,93
2059,1,3,4,0,10.8,-115,29.9,8.2,45,0,0,45,0,982.2,245,2.4,84
2059,1,3,5,0,10.9,-106,63.9,8.2,80,0,0,81,0,982.1,248,2.5,73
2059,1,3,6,0,11.8,-97,58.1,8.3,197,15,9,206,0,981.8,259,2.7,62
2059,1,3,7,0,13.3,-87,27.3,8.5,282,309,211,493,0,981.2,273,3.2,51
2059,1,3,8,0,14.7,-76,5.6,8.6,174,780,611,785,0,980.6,283,3.8,40
2059,1,3,9,0,15.3,-59,9.7,8.4,278,677,578,856,0,979.9,288,4.6,29
2059,1,3,10,0,15.1,-32,5.6,7.9,200,828,775,974,0,979.2,290,5.5,22
2059,1,3,11,0,14.9,7,8.5,7.4,252,748,706,958,0,978.5,291,6.5,19
2059,1,3,12,0,14.7,43,47.5,7.1,319,229,214,533,0,978.0,288,7.2,24
2059,1,3,13,0,14.4,66,26.5,6.9,192,567,457,649,0,977.6,283,7.8,33
2059,1,3,14,0,14.2,80,55.5,6.8,113,317,255,368,0,977.3,279,8.5,44
2059,1,3,15,0,13.9,91,76.5,7.2,131,0,0,131,0,977.0,277,8.8,55
2059,1,3,16,0,13.5,100,83.6,8.0,69,0,0,69,0,976.7,279,8.7,66
2059,1,3,17,0,13.1,109,51.3,8.8,61,0,0,61,0,976.5,280,8.6,77
2059,1,3,18,0,12.7,119,10.5,9.1,29,0,0,29,0,976.5,277,8.5,87
2059,1,3,19,0,12.2,129,0.0,9.0,0,0,0,0,0,976.6,272,8.6,97
2059,1,3,20,0,11.8,140,0.0,8.9,0,0,0,0,0,976.7,266,8.7,105
2059,1,3,21,0,11.5,153,0.0,8.7,0,0,0,0,0,976.7,265,8.8,111
2059,1,3,22,0,11.4,167,0.0,8.4,0,0,0,0,0,976.5,268,8.9,115
2059,1,3,23,0,11.3,-177,0.0,8.1,0,0,0,0,0,976.4,271,9.0,116
2059,1,4,0,0,11.2,-162,0.0,7.9,0,0,0,0,0,976.2,273,9.2,114
2059,1,4,1,0,11.1,-149,0.0,7.7,0,0,0,0,0,976.0,273,9.5,109
2059,1,4,2,0,11.1,-136,0.0,7.5,0,0,0,0,0,975.8,273,9.7,102
2059,1,4,3,0,11.2,-125,1.1,7.5,0,0,0,0,0,976.0,272,9.8,94
2059,1,4,4,0,11.3,-115,53.9,7.6,12,8,3,15,0,976.4,272,9.7,84
2059,1,4,5,0,11.4,-106,30.2,7.6,61,417,147,208,0,976.8,271,9.6,73
2059,1,4,6,0,12.0,-97,0.0,7.5,95,743,350,446,0,977.1,268,9.9,62
2059,1,4,7,0,13.1,-87,0.0,7.3,107,846,533,641,0,977.5,265,10.4,51
2059,1,4,8,0,14.1,-76,0.0,7.0,112,913,699,810,0,977.8,261,11.0,40
2059,1,4,9,0,14.6,-59,0.0,6.7,111,956,830,939,0,978.0,261,11.2,30
2059,1,4,10,0,14.7,-32,0.2,6.3,116,966,896,1013,0,978.3,262,11.2,22
2059,1,4,11,0,14.7,7,10.9,6.0,316,640,604,921,0,978.5,263,11.2,19
2059,1,4,12,0,14.6,42,27.8,5.9,521,210,194,717,0,978.8,263,11.0,24
2059,1,4,13,0,14.4,65,21.1,5.9,422,345,280,702,0,979.2,263,10.7,33
2059,1,4,14,0,14.3,80,14.8,6.0,314,454,328,642,0,979.6,263,10.3,44
2059,1,4,15,0,13.9,91,5.5,6.1,171,664,367,537,0,980.1,263,9.7,55
2059,1,4,16,0,13.4,100,0.0,6.3,83,719,296,380,0,980.7,263,8.9,66
2059,1,4,17,0,12.9,109,0.0,6.5,57,514,127,185,0,981.2,262,8.0,77
2059,1,4,18,0,12.4,118,0.0,6.6,17,153,25,41,0,981.9,264,7.3,87
2059,1,4,19,0,11.7,129,0.0,6.5,0,0,0,0,0,982.8,266,6.8,97
2059,1,4,20,0,11.0,140,0.0,6.4,0,0,0,0,0,983.6,268,6.3,105
2059,1,4,21,0,10.8,153,0.0,6.5,0,0,0,0,0,983.8,271,6.0,111
2059,1,4,22,0,10.9,167,0.0,6.6,0,0,0,0,0,983.6,272,5.8,115
