country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
N/A,Solcast https://solcast.com,N/A,+10,-23.84,151.25,6,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2059,1,1,0,0,25.6,-170,0,22.9,0,0,0,0,0,997.9,39,4.8,132,,
2059,1,1,1,0,25.5,-153,0,22.7,0,0,0,0,0,997.9,39,4.4,127,,
2059,1,1,2,0,25.3,-139,0,22.5,0,0,0,0,0,998,38,3.9,120,,
2059,1,1,3,0,25.3,-129,0,22.4,0,0,0,0,0,998.1,38,3.5,110,,
2059,1,1,4,0,25.2,-120,0.4,22.2,1,0,0,1,0,998.5,41,3.1,99,,
2059,1,1,5,0,25.1,-114,16.1,22,39,2,1,39,0,999.3,49,2.7,86,,
2059,1,1,6,0,25.1,-109,22.3,21.9,149,57,20,168,0,1000,59,2.3,74,,
2059,1,1,7,0,25.6,-104,32.4,21.9,279,29,10,289,0,1000.3,70,2.4,61,,
2059,1,1,8,0,26.4,-100,32.7,22.2,414,42,33,447,0,1000.4,77,2.8,47,,
2059,1,1,9,0,27.3,-96,10.1,22.4,278,556,484,763,0,1000.3,82,3.3,34,,
2059,1,1,10,0,27.5,-92,0,22.3,216,792,739,954,0,1000.2,85,3.8,20,,
2059,1,1,11,0,27.3,-77,0,22,232,795,784,1016,0,1000,87,4.4,7,,
2059,1,1,12,0,27,72,0,21.8,235,791,778,1013,0,999.9,88,4.9,9,,
2059,1,1,13,0,26.9,92,0,21.6,239,754,699,938,0,999.7,89,5.3,21,,
2059,1,1,14,0,26.8,97,0.8,21.5,231,691,567,798,0,999.4,89,5.6,35,,
2059,1,1,15,0,26.7,101,28,21.5,289,224,174,464,0,999.2,89,5.9,48,,
2059,1,1,16,0,26.5,105,33.4,21.5,266,0,0,266,0,999.3,90,5.9,62,,
2059,1,1,17,0,26.2,109,52.4,21.5,106,0,0,106,0,999.7,90,5.9,75,,
2059,1,1,18,0,25.9,114,21.6,21.5,14,0,0,14,0,1000.1,91,5.8,88,,
2059,1,1,19,0,25.7,121,0,21.6,0,0,0,0,0,1000.4,93,5.7,100,,
2059,1,1,20,0,25.7,129,0,21.7,0,0,0,0,0,1000.7,94,5.6,111,,
2059,1,1,21,0,25.7,140,0,21.7,0,0,0,0,0,1001,95,5.4,121,,
2059,1,1,22,0,25.5,154,0,21.8,0,0,0,0,0,1000.9,95,5.2,128,,
2059,1,1,23,0,25.1,172,0,21.7,0,0,0,0,0,1000.5,94,5.1,132,,
2059,1,2,0,0,24.7,-170,0,21.7,0,0,0,0,0,1000.1,93,4.9,132,,
2059,1,2,1,0,24.4,-153,1,21.7,0,0,0,0,0,999.9,93,4.6,128,,
2059,1,2,2,0,24.3,-139,35,21.6,0,0,0,0,0,999.7,93,4.3,120,,
2059,1,2,3,0,24.2,-129,52,21.6,0,0,0,0,0,999.7,94,4,110,,
2059,1,2,4,0,24.2,-120,51.5,21.6,1,0,0,1,0,999.9,92,3.7,99,,
2059,1,2,5,0,24.3,-114,33.1,21.5,43,3,1,44,0,1000.3,88,3.3,87,,
2059,1,2,6,0,24.4,-109,22.6,21.4,141,114,39,180,0,1000.7,83,3.1,74,,
2059,1,2,7,0,25.1,-104,42.8,21.4,219,74,32,250,0,1000.7,74,2.5,61,,
2059,1,2,8,0,26.1,-100,17.9,21.4,154,594,436,589,0,1000.4,57,1.9,47,,
2059,1,2,9,0,27.2,-96,0,21.4,119,908,752,870,0,1000.1,28,1.6,34,,
2059,1,2,10,0,27.7,-92,0,21.1,132,928,866,997,0,999.6,20,1.7,20,,
2059,1,2,11,0,28,-77,0,20.5,140,933,921,1060,0,999,27,2,7,,
2059,1,2,12,0,28.1,71,0,19.9,144,925,911,1054,0,998.4,35,2.3,9,,
2059,1,2,13,0,28.2,92,0.3,19.8,152,887,825,976,0,997.8,40,2.8,21,,
2059,1,2,14,0,28.3,97,11.8,20.1,306,522,441,747,0,997.1,42,3.5,35,,
2059,1,2,15,0,28.3,100,6.8,20.4,216,605,387,602,0,996.4,43,4.3,48,,
2059,1,2,16,0,27.9,104,33.6,20.7,159,251,151,311,0,996.3,42,4.7,62,,
2059,1,2,17,0,27.2,109,21.9,21.1,110,142,28,137,0,996.5,40,5,75,,
2059,1,2,18,0,26.5,114,2.6,21.4,26,71,14,40,0,996.7,38,5.2,88,,
2059,1,2,19,0,26,121,0,21.8,0,0,0,0,0,997.1,36,5.1,100,,
2059,1,2,20,0,25.8,129,0,22.2,0,0,0,0,0,997.5,35,4.9,111,,
2059,1,2,21,0,25.7,140,0,22.6,0,0,0,0,0,998,33,4.7,121,,
2059,1,2,22,0,25.3,154,0,22.6,0,0,0,0,0,998,28,4.5,128,,
2059,1,2,23,0,24.9,171,0,22.4,0,0,0,0,0,997.6,22,4.4,132,,
2059,1,3,0,0,24.4,-170,0,22.1,0,0,0,0,0,997.3,16,4.4,132,,
2059,1,3,1,0,24.2,-153,0,22,0,0,0,0,0,996.9,9,4.4,128,,
2059,1,3,2,0,24.1,-139,0,21.9,0,0,0,0,0,996.6,2,4.4,120,,
2059,1,3,3,0,24,-129,0,21.9,0,0,0,0,0,996.3,355,4.4,110,,
2059,1,3,4,0,24.2,-120,0.2,21.9,1,1,0,1,0,996.3,348,4.5,99,,
2059,1,3,5,0,24.4,-114,8.4,21.9,40,51,6,46,0,996.6,341,4.5,87,,
2059,1,3,6,0,24.7,-109,24.6,21.9,153,29,5,158,0,996.9,335,4.7,74,,
2059,1,3,7,0,25.5,-104,25,21.9,269,131,73,342,0,996.9,330,4.6,61,,
2059,1,3,8,0,26.6,-100,22.3,21.9,367,220,151,518,0,996.6,326,4.5,47,,
2059,1,3,9,0,27.8,-96,7.5,21.9,236,648,555,792,0,996.3,322,4.4,34,,
2059,1,3,10,0,28.7,-92,0,21.7,168,865,806,973,0,996,326,4.2,20,,
2059,1,3,11,0,29.4,-76,0,21.3,177,873,861,1038,0,995.5,335,4.1,7,,
2059,1,3,12,0,30,70,0,20.9,177,873,859,1036,0,995,346,4.2,9,,
2059,1,3,13,0,30.2,92,0,20.9,170,860,797,966,0,994.6,354,4.5,21,,
2059,1,3,14,0,30.1,96,0,21.2,159,824,674,833,0,994.1,1,5,35,,
2059,1,3,15,0,30,100,0,21.5,143,758,504,647,0,993.6,7,5.5,48,,
2059,1,3,16,0,29.6,104,0,21.9,116,645,312,428,0,993.5,8,5.8,62,,
2059,1,3,17,0,28.8,109,0,22.3,76,433,127,204,0,993.5,8,6,75,,
2059,1,3,18,0,28,114,0,22.7,21,117,23,43,0,993.6,7,6.1,88,,
2059,1,3,19,0,27.4,121,0.9,23,0,0,0,0,0,993.7,5,6.1,100,,
2059,1,3,20,0,26.9,129,34.4,23.2,0,0,0,0,0,993.9,3,6.1,111,,
2059,1,3,21,0,26.5,140,51.7,23.3,0,0,0,0,0,994.1,1,6,121,,
2059,1,3,22,0,26.1,154,51,23.3,0,0,0,0,0,993.9,358,6.2,128,,
2059,1,3,23,0,25.7,171,17,23,0,0,0,0,0,993.5,355,6.4,132,,
2059,1,4,0,0,25.4,-170,0,22.8,0,0,0,0,0,993,351,6.7,132,,
2059,1,4,1,0,25.2,-153,0,22.7,0,0,0,0,0,992.7,348,6.9,128,,
2059,1,4,2,0,25.1,-139,0,22.6,0,0,0,0,0,992.4,345,7.1,120,,
2059,1,4,3,0,25.1,-129,0,22.5,0,0,0,0,0,992.1,342,7.2,110,,
2059,1,4,4,0,25.2,-120,0.2,22.5,1,0,0,1,0,992.4,339,7.2,99,,
2059,1,4,5,0,25.5,-114,7.9,22.4,37,8,3,40,0,993,337,7.2,87,,
2059,1,4,6,0,25.7,-109,3.9,22.4,97,287,100,198,0,993.6,334,7.1,74,,
2059,1,4,7,0,26.4,-104,0,22.4,148,545,272,420,0,993.9,331,7,61,,
2059,1,4,8,0,27.3,-100,0,22.5,182,671,454,637,0,993.9,328,6.7,48,,
2059,1,4,9,0,28.3,-96,0,22.6,195,756,625,822,0,993.9,324,6.5,34,,
2059,1,4,10,0,29.1,-91,0,22.4,188,825,769,957,0,993.5,326,6.3,20,,
2059,1,4,11,0,29.8,-75,0,22,186,852,840,1026,0,992.8,331,6.2,7,,
2059,1,4,12,0,30.5,68,0,21.7,186,851,838,1025,0,992.1,337,6.1,9,,
2059,1,4,13,0,30.8,92,0,21.7,181,835,774,955,0,991.5,344,6.1,21,,
2059,1,4,14,0,30.8,96,0,22.1,173,794,651,823,0,990.9,351,6.3,35,,
2059,1,4,15,0,30.8,100,0,22.4,157,722,482,639,0,990.3,358,6.6,48,,
2059,1,4,16,0,30.3,104,0,22.8,129,596,290,420,0,990.2,0,6.8,62,,
2059,1,4,17,0,29.5,109,0,23.2,84,369,111,196,0,990.4,1,7,75,,
2059,1,4,18,0,28.7,114,0,23.6,23,94,18,41,0,990.6,1,7.1,87,,
2059,1,4,19,0,28.1,121,0,23.8,0,0,0,0,0,990.9,360,7.1,100,,
2059,1,4,20,0,27.6,129,0,23.8,0,0,0,0,0,991.2,358,7.2,111,,
