country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,10,-24.327077,151.951904,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2014,1,1,0,0,25.6,-169,0,22.5,0,0,0,0,0,999.7,43.7,5.334,131,,
2014,1,1,1,0,25.4,-152,0,22.5,0,0,0,0,0,999.7,49.7,5.037,127,,
2014,1,1,2,0,25.3,-139,0,22.4,0,0,0,0,0,999.8,51.3,4.775,119,,
2014,1,1,3,0,25.1,-128,0,22.4,0,0,0,0,0,999.8,58.6,4.643,109,,
2014,1,1,4,0,25,-120,0.3,22.3,1,0,0,1,0,1000.3,68,4.823,98,,
2014,1,1,5,0,24.9,-114,12.5,22.1,47,8,3,50,0,1001,76.4,5.007,86,,
2014,1,1,6,0,24.7,-108,9,21.9,110,306,111,220,0,1001.7,84.1,5.516,73,,
2014,1,1,7,0,25.1,-104,15.2,21.8,250,291,135,385,0,1002.1,90.6,4.769,60,,
2014,1,1,8,0,25.9,-100,15.5,21.9,320,368,262,581,0,1002.1,109.6,4.501,46,,
2014,1,1,9,0,26.7,-95,13.4,22,378,440,366,745,0,1002.1,112.9,5.969,33,,
2014,1,1,10,0,26.9,-90,13.6,21.9,452,418,392,844,0,1002,122.9,5.198,19,,
2014,1,1,11,0,26.8,-62,11.7,21.7,451,469,464,915,0,1001.9,118,6.561,6,,
2014,1,1,12,0,26.5,60,3.8,21.4,299,706,692,991,0,1001.7,107.1,6.06,9,,
2014,1,1,13,0,26.4,91,6.8,21.3,333,603,561,894,0,1001.5,100,6.115,22,,
2014,1,1,14,0,26.5,96,9.7,21.3,345,487,396,741,0,1001.3,91.1,6.275,35,,
2014,1,1,15,0,26.5,100,21.3,21.4,360,198,146,507,0,1001.1,84.9,6.607,49,,
2014,1,1,16,0,26.3,104,29.2,21.4,284,18,11,295,0,1001.1,93,7.847,62,,
2014,1,1,17,0,26,109,29,21.4,134,0,0,134,0,1001.4,90.7,9.679,75,,
2014,1,1,18,0,25.7,115,9.5,21.4,28,0,0,28,0,1001.8,94.3,9.289,88,,
2014,1,1,19,0,25.5,121,0,21.4,0,0,0,0,0,1002.1,97.4,8.855,100,,
2014,1,1,20,0,25.3,130,0,21.3,0,0,0,0,0,1002.4,96.8,7.882,111,,
2014,1,1,21,0,25.2,141,0,21.2,0,0,0,0,0,1002.6,97.5,7.356,121,,
2014,1,1,22,0,24.9,155,0.5,21.2,0,0,0,0,0,1002.5,99.7,7.634,128,,
2014,1,1,23,0,24.5,173,18.3,21.2,0,0,0,0,0,1002.2,97.6,6.702,132,,
2014,1,2,0,0,24.2,-169,27.2,21.2,0,0,0,0,0,1001.9,93.7,6.288,131,,
2014,1,2,1,0,23.9,-153,26.7,21.1,0,0,0,0,0,1001.6,91.2,5.844,127,,
2014,1,2,2,0,23.7,-139,8.9,21.1,0,0,0,0,0,1001.5,77.9,4.867,119,,
2014,1,2,3,0,23.5,-128,0,21,0,0,0,0,0,1001.3,72.8,4.475,109,,
2014,1,2,4,0,23.4,-120,0.8,20.9,1,0,0,1,0,1001.5,71.2,3.969,98,,
2014,1,2,5,0,23.5,-114,30,20.9,36,5,2,38,0,1001.8,42.6,4.593,86,,
2014,1,2,6,0,23.6,-108,25.2,20.8,134,189,69,202,0,1002.2,49.9,3.029,73,,
2014,1,2,7,0,24.3,-104,16.8,20.8,244,313,159,403,0,1002.2,33.4,1.98,60,,
2014,1,2,8,0,25.4,-99,14.4,20.7,298,442,309,607,0,1001.9,0.4,1.847,47,,
2014,1,2,9,0,26.6,-95,4.3,20.7,190,783,666,855,0,1001.5,339.6,2.545,33,,
2014,1,2,10,0,27.2,-90,0.3,20.3,140,931,872,1011,0,1001.1,320.5,1.852,19,,
2014,1,2,11,0,27.3,-62,9.1,19.9,325,661,649,974,0,1000.5,329.1,2.378,7,,
