country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Tom_Price,10,-22.69,117.79,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith
2059,1,1,0,0,26.0,-156,0.0,18.6,0,0,0,0,0,941.2,310,4.6,130
2059,1,1,1,0,25.3,-142,0.0,19.1,0,0,0,0,0,941.2,303,4.2,123
2059,1,1,2,0,24.7,-130,0.0,19.4,0,0,0,0,0,941.3,296,3.8,113
2059,1,1,3,0,24.2,-122,0.0,19.7,0,2,0,1,0,941.4,288,3.5,102
2059,1,1,4,0,24.8,-115,0.0,20.1,18,73,8,27,0,941.8,282,3.2,90
2059,1,1,5,0,26.2,-110,0.0,20.4,62,391,110,172,0,942.4,278,3.0,77
2059,1,1,6,0,27.7,-106,0.0,20.7,97,655,296,393,0,942.9,273,2.7,64
2059,1,1,7,0,29.2,-102,0.0,20.1,116,778,494,611,0,943.0,271,2.4,51
2059,1,1,8,0,30.7,-99,0.0,18.8,128,844,671,800,0,942.8,271,2.1,37
2059,1,1,9,0,32.2,-96,0.8,17.5,146,861,785,931,0,942.6,273,1.8,23
2059,1,1,10,0,33.6,-96,30.3,16.5,429,289,274,702,0,942.2,284,1.3,10
2059,1,1,11,0,34.9,104,68.1,15.7,312,16,14,327,0,941.7,315,1.0,8
2059,1,1,12,0,36.1,95,26.8,15.0,165,576,531,696,0,941.2,355,1.1,18
2059,1,1,13,0,36.7,98,1.5,14.5,130,851,720,850,0,940.9,4,1.4,32
2059,1,1,14,0,36.9,101,54.7,14.0,118,285,231,348,0,940.5,2,1.7,46
2059,1,1,15,0,36.9,104,84.8,13.5,70,7,2,72,0,940.3,358,2.0,59
2059,1,1,16,0,36.1,108,31.7,13.7,67,252,60,127,0,940.3,343,2.2,72
2059,1,1,17,0,34.7,113,1.3,14.4,30,129,30,59,0,940.5,324,2.7,85
2059,1,1,18,0,33.2,119,0.0,15.1,2,2,0,2,0,940.8,311,3.5,98
2059,1,1,19,0,32.0,127,0.0,15.9,0,0,0,0,0,941.0,304,4.3,109
2059,1,1,20,0,30.9,137,0.0,16.8,0,0,0,0,0,941.3,299,5.1,119
2059,1,1,21,0,29.9,151,0.0,17.6,0,0,0,0,0,941.5,295,5.9,128
2059,1,1,22,0,28.9,167,0.0,18.4,0,0,0,0,0,941.5,292,6.0,133
2059,1,1,23,0,27.8,-174,0.0,19.3,0,0,0,0,0,941.3,288,5.5,133
2059,1,2,0,0,26.7,-156,0.0,20.1,0,0,0,0,0,941.2,283,5.0,130
2059,1,2,1,0,26.0,-142,0.0,20.6,0,0,0,0,0,941.3,276,4.6,123
2059,1,2,2,0,25.4,-130,0.0,20.8,0,0,0,0,0,941.6,269,4.2,113
2059,1,2,3,0,25.0,-122,0.0,21.0,0,3,0,1,0,941.9,261,3.9,102
2059,1,2,4,0,25.5,-115,0.0,21.2,16,113,12,29,0,942.2,251,3.8,90
2059,1,2,5,0,26.7,-110,0.0,21.3,50,471,128,179,0,942.7,240,3.7,77
2059,1,2,6,0,28.1,-106,0.0,21.4,75,732,327,402,0,943.2,230,3.9,64
2059,1,2,7,0,29.7,-102,0.0,20.8,88,842,534,622,0,943.1,221,3.9,51
2059,1,2,8,0,31.5,-99,0.0,19.7,97,901,715,812,0,942.7,214,4.0,37
2059,1,2,9,0,33.4,-96,0.0,18.5,101,936,853,954,0,942.3,206,4.0,23
2059,1,2,10,0,35.0,-95,0.0,17.3,104,953,933,1035,0,941.7,200,3.6,10
2059,1,2,11,0,36.6,102,0.0,16.0,104,957,947,1051,0,940.9,191,2.9,8
2059,1,2,12,0,38.0,95,0.0,14.8,102,947,894,996,0,940.2,176,2.2,18
2059,1,2,13,0,38.9,98,0.0,13.6,99,922,779,877,0,939.6,167,1.7,32
2059,1,2,14,0,39.2,101,1.5,12.5,95,857,603,698,0,939.1,165,1.1,45
2059,1,2,15,0,39.4,104,52.5,11.4,87,288,183,270,0,938.6,164,0.6,59
2059,1,2,16,0,38.9,108,28.8,11.2,75,306,72,147,0,938.5,286,0.2,72
2059,1,2,17,0,37.8,113,1.3,11.8,28,160,37,64,0,938.7,313,1.1,85
2059,1,2,18,0,36.6,119,0.0,12.5,2,4,0,2,0,938.9,316,2.0,98
2059,1,2,19,0,35.0,127,0.0,12.9,0,0,0,0,0,939.2,312,2.7,109
2059,1,2,20,0,33.2,137,0.0,13.3,0,0,0,0,0,939.6,306,3.3,119
2059,1,2,21,0,31.3,150,0.0,13.6,0,0,0,0,0,940.0,302,3.9,128
2059,1,2,22,0,30.1,167,0.0,14.4,0,0,0,0,0,940.2,296,4.3,133
2059,1,2,23,0,29.3,-174,0.0,15.7,0,0,0,0,0,940.1,289,4.6,134
2059,1,3,0,0,28.6,-156,0.0,17.0,0,0,0,0,0,940.1,283,4.9,130
2059,1,3,1,0,28.0,-142,0.0,18.0,0,0,0,0,0,940.2,277,4.9,123
2059,1,3,2,0,27.4,-130,0.0,18.6,0,0,0,0,0,940.4,271,4.8,113
2059,1,3,3,0,26.9,-122,0.0,19.2,0,3,0,1,0,940.6,265,4.7,102
2059,1,3,4,0,27.4,-115,0.0,19.7,14,130,13,29,0,941.0,257,4.4,90
2059,1,3,5,0,28.6,-110,0.0,20.0,46,507,136,182,0,941.5,247,4.2,77
2059,1,3,6,0,29.9,-106,0.0,20.3,69,770,342,410,0,941.9,236,4.0,64
2059,1,3,7,0,31.6,-102,0.0,19.4,80,879,555,635,0,942.0,224,3.7,51
2059,1,3,8,0,33.5,-99,0.0,17.7,86,938,744,828,0,941.7,210,3.2,37
2059,1,3,9,0,35.5,-96,0.0,15.9,89,971,885,974,0,941.4,193,3.0,24
2059,1,3,10,0,37.2,-94,0.0,13.6,92,987,966,1058,0,940.8,177,2.5,10
2059,1,3,11,0,38.7,101,0.0,11.1,93,990,980,1074,0,940.0,154,1.8,8
2059,1,3,12,0,40.2,95,0.0,8.5,93,981,928,1019,0,939.2,117,1.6,18
2059,1,3,13,0,40.8,97,0.0,6.7,89,959,811,901,0,938.6,99,1.7,32
2059,1,3,14,0,41.0,100,0.0,5.4,84,915,641,725,0,938.0,94,1.6,45
2059,1,3,15,0,41.0,104,0.0,4.2,76,834,434,509,0,937.6,89,1.4,59
2059,1,3,16,0,40.2,108,0.0,3.6,59,666,215,275,0,937.5,82,1.5,72
2059,1,3,17,0,39.0,113,0.0,3.4,21,211,49,70,0,937.8,77,1.7,85
2059,1,3,18,0,37.6,119,0.0,3.3,2,5,0,2,0,938.1,73,2.0,98
2059,1,3,19,0,35.9,127,0.0,3.5,0,0,0,0,0,938.4,64,2.0,109
2059,1,3,20,0,33.9,137,0.0,3.9,0,0,0,0,0,938.5,47,1.8,119
2059,1,3,21,0,31.9,150,0.0,4.4,0,0,0,0,0,938.6,26,1.7,128
2059,1,3,22,0,30.4,167,0.0,5.5,0,0,0,0,0,938.5,1,1.5,133
2059,1,3,23,0,29.2,-174,0.0,7.2,0,0,0,0,0,938.2,328,1.6,134
2059,1,4,0,0,28.1,-157,0.0,8.8,0,0,0,0,0,937.9,302,2.1,130
2059,1,4,1,0,27.3,-142,0.0,9.9,0,0,0,0,0,937.8,289,2.4,123
2059,1,4,2,0,26.7,-130,0.0,10.6,0,0,0,0,0,937.9,280,2.6,114
2059,1,4,3,0,26.1,-122,0.0,11.2,0,4,0,1,0,938.0,272,2.8,102
2059,1,4,4,0,27.2,-115,0.0,12.1,13,142,15,29,0,938.3,263,2.2,90
2059,1,4,5,0,29.4,-110,0.0,13.3,42,534,142,184,0,938.8,233,1.0,77
2059,1,4,6,0,31.8,-106,0.0,14.5,63,796,350,413,0,939.2,144,1.1,64
2059,1,4,7,0,34.3,-102,0.0,13.5,74,895,563,637,0,939.3,120,1.7,51
2059,1,4,8,0,36.8,-98,0.0,10.9,81,947,749,829,0,939.1,105,1.9,37
2059,1,4,9,0,39.3,-96,0.0,8.2,86,975,887,973,0,939.0,93,2.1,24
2059,1,4,10,0,40.9,-94,0.0,6.5,91,985,964,1055,0,938.5,86,2.1,10
2059,1,4,11,0,41.9,99,0.0,5.6,95,983,974,1069,0,937.8,81,2.0,8
