PeriodEnd,PeriodStart,Period,AirTemp,Dhi,Dni,Ghi,WindDirection10m,WindSpeed10m,lat,lon
2021-06-30T02:00:00Z,2021-06-30T01:00:00Z,PT60M,15.7,50,902,492,125,6.9,-33.856784,151.215297
2021-06-30T03:00:00Z,2021-06-30T02:00:00Z,PT60M,17.7,54,942,619,118,6.4,Minute,Temperature
2021-06-30T04:00:00Z,2021-06-30T03:00:00Z,PT60M,19.2,56,960,686,110,5.5,0,20.3
2021-06-30T05:00:00Z,2021-06-30T04:00:00Z,PT60M,20.1,56,961,687,102,4.9,0,20
2021-06-30T06:00:00Z,2021-06-30T05:00:00Z,PT60M,20.6,55,944,623,96,4.5,0,20
2021-06-30T07:00:00Z,2021-06-30T06:00:00Z,PT60M,20.7,51,904,498,94,4.1,0,20
2021-06-30T08:00:00Z,2021-06-30T07:00:00Z,PT60M,20.7,43,821,325,92,3.8,0,20.1
2021-06-30T09:00:00Z,2021-06-30T08:00:00Z,PT60M,19.8,29,556,126,95,3.5,0,20.4
2021-06-30T10:00:00Z,2021-06-30T09:00:00Z,PT60M,18.2,2,18,4,106,3.4,0,20.6
2021-06-30T11:00:00Z,2021-06-30T10:00:00Z,PT60M,16.9,0,0,0,112,3.5,0,21.3
2021-06-30T12:00:00Z,2021-06-30T11:00:00Z,PT60M,16.1,0,0,0,111,3.6,0,22.6
2021-06-30T13:00:00Z,2021-06-30T12:00:00Z,PT60M,15.5,0,0,0,111,3.6,0,23.8
2021-06-30T14:00:00Z,2021-06-30T13:00:00Z,PT60M,14.9,0,0,0,109,3.7,0,24.7
2021-06-30T15:00:00Z,2021-06-30T14:00:00Z,PT60M,14.4,0,0,0,104,3.7,0,25.2
2021-06-30T16:00:00Z,2021-06-30T15:00:00Z,PT60M,13.8,0,0,0,101,3.6,0,25.7
2021-06-30T17:00:00Z,2021-06-30T16:00:00Z,PT60M,13.3,0,0,0,96,3.4,0,26
2021-06-30T18:00:00Z,2021-06-30T17:00:00Z,PT60M,12.9,0,0,0,95,3.4,0,25.9
2021-06-30T19:00:00Z,2021-06-30T18:00:00Z,PT60M,12.5,0,0,0,97,3.5,0,25.9
2021-06-30T20:00:00Z,2021-06-30T19:00:00Z,PT60M,12,0,0,0,95,3.4,0,25.6
2021-06-30T21:00:00Z,2021-06-30T20:00:00Z,PT60M,11.7,0,0,0,99,3.4,0,25
2021-06-30T22:00:00Z,2021-06-30T21:00:00Z,PT60M,11.3,0,0,0,104,3.4,0,24.5
2021-06-30T23:00:00Z,2021-06-30T22:00:00Z,PT60M,11,1,16,3,104,3.5,0,23.8
2021-07-01T00:00:00Z,2021-06-30T23:00:00Z,PT60M,11.7,28,556,121,101,3.4,0,23.1
2021-07-01T01:00:00Z,2021-07-01T00:00:00Z,PT60M,13.8,47,806,318,93,3.8,0,22.4
2021-07-01T02:00:00Z,2021-07-01T01:00:00Z,PT60M,16.3,53,901,495,90,4.5,0,22.1
2021-07-01T03:00:00Z,2021-07-01T02:00:00Z,PT60M,18.2,57,945,623,88,4.3,0,22
2021-07-01T04:00:00Z,2021-07-01T03:00:00Z,PT60M,19.3,59,963,691,85,3.2,0,22
2021-07-01T05:00:00Z,2021-07-01T04:00:00Z,PT60M,20,59,963,693,86,1.6,0,22
2021-07-01T06:00:00Z,2021-07-01T05:00:00Z,PT60M,20.5,57,946,627,121,0.7,0,21.9
2021-07-01T07:00:00Z,2021-07-01T06:00:00Z,PT60M,20.7,52,907,502,173,1,0,21.8
2021-07-01T08:00:00Z,2021-07-01T07:00:00Z,PT60M,20.8,44,823,328,177,1.5,0,21.9
2021-07-01T09:00:00Z,2021-07-01T08:00:00Z,PT60M,20,29,554,127,168,2,0,22.2
