Longitude:137.615433,Longitude:137.615433,Longitude:137.615433,Longitude:137.615433,Longitude:137.615433,Longitude:137.615433,Longitude:137.615433,Longitude:137.615433
Latitude:-32.955673,Latitude:-32.955673,Latitude:-32.955673,Latitude:-32.955673,Latitude:-32.955673,Latitude:-32.955673,Latitude:-32.955673,Latitude:-32.955673
Temperature,Speed,Direction,Pressure,Temperature,Speed,Direction,Pressure
C,m/s,degrees,atm,C,m/s,degrees,atm
150,150,150,150,10,10,10,10
20.2,9.09,152.0,0.9825808043424624,20.2,6.530029711603196,152.0,0.9825808043424624
19.6,7.974,148.7,0.9820873427091044,19.6,5.728323093544982,148.7,0.9820873427091044
19.0,7.576,147.1,0.981692573402418,19.0,5.442409801441784,147.1,0.981692573402418
18.8,6.608,145.6,0.981692573402418,18.8,4.747022699040035,145.6,0.981692573402418
18.9,5.768,147.8,0.9819886503824328,18.9,4.143587610179013,147.8,0.9819886503824328
19.0,5.818,148.8,0.9823834196891191,19.0,4.1795063654683595,148.8,0.9823834196891191
20.8,5.737,146.7,0.9825808043424624,20.8,4.121317981899619,146.7,0.9825808043424624
23.8,5.648,142.4,0.982679496669134,23.8,4.057382597484582,142.4,0.982679496669134
26.9,4.574,140.6,0.982679496669134,26.9,3.285847733869419,140.6,0.982679496669134
29.0,9.284,174.9,0.9824821120157907,29.0,6.669394482125861,174.9,0.9824821120157907
30.4,9.583,171.5,0.9819886503824328,30.4,6.884188638756153,171.5,0.9819886503824328
31.7,10.277,171.5,0.9814951887490747,31.7,7.3827409621722815,171.5,0.9814951887490747
32.9,10.667,172.9,0.9809030347890452,32.9,7.662907253429184,172.9,0.9809030347890452
33.9,10.873,174.0,0.9803108808290155,33.9,7.810892525221292,174.0,0.9803108808290155
34.9,11.747,177.1,0.9796200345423144,34.9,8.43875236767907,177.1,0.9796200345423144
35.1,12.804,178.2,0.979225265235628,35.1,9.198074854495855,178.2,0.979225265235628
34.8,14.062,180.9,0.9791265729089563,34.8,10.101790737575813,180.9,0.9791265729089563
34.4,14.271,184.1,0.9789291882556131,34.4,10.251931134685282,184.1,0.9789291882556131
32.7,14.627,184.2,0.9791265729089563,32.7,10.50767267234543,184.2,0.9791265729089563
30.2,15.36,178.1,0.9796200345423144,30.2,11.034241624887247,178.1,0.9796200345423144
27.5,13.999,171.1,0.9801134961756723,27.5,10.056533105911237,171.1,0.9801134961756723
26.0,14.831,170.5,0.980212188502344,26.0,10.654221193925963,170.5,0.980212188502344
25.2,14.899,172.7,0.9801134961756723,25.2,10.703070701119474,172.7,0.9801134961756723
24.6,14.354,171.9,0.9800148038490007,24.6,10.311556268465598,171.9,0.9800148038490007
24.3,13.266,168.5,0.9798174191956575,24.3,9.529964153369416,168.5,0.9798174191956575
24.2,12.564,168.5,0.9796200345423144,24.2,9.025664829106992,168.5,0.9796200345423144
24.2,11.905,167.7,0.9794226498889711,24.2,8.552255634393404,167.7,0.9794226498889711
24.4,11.923,167.5,0.9796200345423144,24.4,8.56518638629757,167.5,0.9796200345423144
24.6,12.145,168.4,0.9800148038490007,24.6,8.724665659782268,168.4,0.9800148038490007
24.8,12.264,166.9,0.9805082654823587,24.8,8.810152297370912,166.9,0.9805082654823587
26.4,11.407,165.7,0.9809030347890452,26.4,8.194504831711514,165.7,0.9809030347890452
28.9,9.732,169.3,0.9811004194423883,28.9,6.991226529518404,169.3,0.9811004194423883
31.6,8.834,170.3,0.9812978040957315,31.6,6.346125684521742,170.3,0.9812978040957315
32.7,7.805,167.1,0.98119911176906,32.7,5.60691770066699,167.1,0.98119911176906
32.7,7.724,164.9,0.980705650135702,32.7,5.54872931709825,164.9,0.980705650135702
32.6,7.9,166.3,0.9801134961756723,32.6,5.675163335716749,166.3,0.9801134961756723
32.8,8.116,167.6,0.9796200345423144,32.8,5.830332358566726,167.6,0.9796200345423144
33.3,8.307,167.1,0.9790278805822847,33.3,5.96754200377203,167.1,0.9790278805822847
33.8,8.634,168.7,0.9785344189489267,33.8,6.202450663364356,168.7,0.9785344189489267
33.9,9.193,172.0,0.9781396496422403,33.9,6.604022347499249,172.0,0.9781396496422403
33.7,9.786,181.3,0.9779422649888971,33.7,7.030018785230899,181.3,0.9779422649888971
33.5,9.913,184.1,0.977744880335554,33.5,7.12125242366584,184.1,0.977744880335554
32.6,9.827,185.2,0.9776461880088824,32.6,7.059472164568164,185.2,0.9776461880088824
31.1,11.514,190.4,0.9776461880088824,31.1,8.271370968030714,190.4,0.9776461880088824
29.5,11.299,180.4,0.9776461880088824,29.5,8.116920320286525,180.4,0.9776461880088824
28.3,10.764,158.8,0.9775474956822107,28.3,7.732589638690517,158.8,0.9775474956822107
27.3,10.15,157.5,0.9774488033555391,27.3,7.291507323737342,157.5,0.9774488033555391
26.4,9.006,152.4,0.9773501110288675,26.4,6.469686202717094,152.4,0.9773501110288675
26.2,8.625,148.9,0.9771527263755243,26.2,6.195985287412273,148.9,0.9771527263755243
26.6,7.9,132.4,0.9770540340488527,26.6,5.675163335716749,132.4,0.9770540340488527
27.1,5.433,111.8,0.9768566493955094,27.1,3.902931949740392,111.8,0.9768566493955094
27.6,5.199,102.0,0.9770540340488527,27.6,3.73483217498625,102.0,0.9770540340488527
28.1,4.754,95.6,0.9774488033555391,28.1,3.415155252911066,95.6,0.9774488033555391
28.7,4.22,91.3,0.9778435726622254,28.7,3.0315429464208457,91.3,0.9778435726622254
30.0,2.352,61.0,0.978238341968912,30.0,1.6896182488108598,61.0,0.978238341968912
31.8,1.668,39.7,0.9785344189489267,31.8,1.1982496764525996,39.7,0.9785344189489267
33.7,2.162,38.0,0.97873180360227,33.7,1.5531269787113433,38.0,0.97873180360227
34.1,2.521,51.6,0.9789291882556131,34.1,1.811023641688851,51.6,0.9789291882556131
33.5,3.874,52.9,0.9789291882556131,33.5,2.782985159818568,52.9,0.9789291882556131
32.6,3.362,56.0,0.9789291882556131,32.6,2.4151771056556597,56.0,0.9789291882556131
31.7,2.966,61.9,0.9791265729089563,31.7,2.1307005637640355,61.9,0.9791265729089563
30.6,3.238,81.0,0.9796200345423144,30.6,2.3260985925380804,81.0,0.9796200345423144
29.6,3.229,83.5,0.9801134961756723,29.6,2.319633216585998,83.5,0.9801134961756723
28.4,3.556,91.4,0.980705650135702,28.4,2.554541876178324,91.4,0.980705650135702
27.3,3.82,98.9,0.9813964964224031,27.3,2.7441929041060735,98.9,0.9813964964224031
26.2,3.859,108.8,0.9820873427091044,26.2,2.772209533231764,108.8,0.9820873427091044
25.1,4.42,114.3,0.982679496669134,25.1,3.1752179675782317,114.3,0.982679496669134
24.1,4.806,104.9,0.9831729583024921,24.1,3.4525107584119867,104.9,0.9831729583024921
23.1,5.267,82.4,0.9835677276091784,23.1,3.783681682179762,82.4,0.9835677276091784
22.4,5.971,71.5,0.9840611892425364,22.4,4.28941775665376,71.5,0.9840611892425364
22.0,6.288,57.8,0.9843572662225512,22.0,4.517142665188218,57.8,0.9843572662225512
21.6,6.625,51.2,0.9847520355292375,21.6,4.759235075838412,51.2,0.9847520355292375
21.0,7.261,49.3,0.9850481125092524,21.0,5.216121643118901,49.3,0.9850481125092524
20.4,8.539,31.8,0.9851468048359241,20.4,6.1342050283145975,31.8,0.9851468048359241
19.8,11.405,31.8,0.9853441894892672,19.8,8.193068081499938,31.8,0.9853441894892672
19.4,12.506,24.8,0.9857389587959535,19.4,8.98399907297135,24.8,0.9857389587959535
19.2,9.724,12.0,0.9862324204293116,19.2,6.98547952867211,12.0,0.9862324204293116
19.1,7.686,353.3,0.9868245743893412,19.1,5.521431063078346,353.3,0.9868245743893412
20.0,7.905,255.1,0.9870219590426844,20.0,5.678755211245684,255.1,0.9870219590426844
21.5,5.963,209.5,0.9869232667160128,21.5,4.283670755807465,209.5,0.9869232667160128
23.2,6.447,187.5,0.9868245743893412,23.2,4.631364307008339,187.5,0.9868245743893412
24.6,8.928,186.0,0.9865284974093265,24.6,6.4136529444657135,186.0,0.9865284974093265
25.7,11.199,183.6,0.9860350357759684,25.7,8.045082809707832,183.6,0.9860350357759684
26.8,11.891,179.8,0.9854428818159389,26.8,8.542198382912387,179.8,0.9854428818159389
27.6,12.489,181.2,0.9849494201825808,27.6,8.971786696172973,181.2,0.9849494201825808
28.3,13.179,186.3,0.9845546508758944,28.3,9.467465519165954,186.3,0.9845546508758944
28.9,12.655,187.0,0.9841598815692081,28.9,9.091036963733602,187.0,0.9841598815692081
28.9,12.877,189.7,0.9840611892425364,28.9,9.250516237218301,189.7,0.9840611892425364
28.4,13.453,186.8,0.9842585738958796,28.4,9.664300298151572,186.8,0.9842585738958796
27.9,13.558,186.5,0.9844559585492227,27.9,9.739729684259201,186.5,0.9844559585492227
26.7,13.806,188.4,0.9849494201825808,26.7,9.91788671049436,188.4,0.9849494201825808
25.0,13.819,188.9,0.9855415741426105,25.0,9.92722558686959,188.9,0.9855415741426105
23.3,13.469,189.2,0.9862324204293116,23.3,9.675794299844164,189.2,0.9862324204293116
22.4,14.079,189.8,0.9864298050826549,22.4,10.114003114374192,189.8,0.9864298050826549
22.2,14.771,188.1,0.9864298050826549,22.2,10.611118687578749,188.1,0.9864298050826549
22.1,14.518,183.5,0.9863311127559832,22.1,10.429369785814654,183.5,0.9863311127559832
21.9,14.508,181.2,0.9861337281026401,21.9,10.422186034756782,181.2,0.9861337281026401
21.5,14.262,179.2,0.9860350357759684,21.5,10.2454657587332,179.2,0.9860350357759684
21.1,13.559,175.8,0.9858376511226252,21.1,9.740448059364986,175.8,0.9858376511226252
20.9,12.687,168.4,0.9860350357759684,20.9,9.114024967118784,168.4,0.9860350357759684
20.9,11.837,163.3,0.9864298050826549,20.9,8.503406127199893,163.3,0.9864298050826549
21.0,11.354,160.2,0.9869232667160128,21.0,8.156430951104806,160.2,0.9869232667160128
22.1,10.737,160.7,0.9872193436960276,22.1,7.71319351083427,160.7,0.9872193436960276
24.1,11.141,160.7,0.9872193436960276,24.1,8.003417053572191,160.7,0.9872193436960276
26.1,10.596,163.8,0.9872193436960276,26.1,7.611902620918314,163.8,0.9872193436960276
27.3,10.571,166.4,0.9870219590426844,27.3,7.593943243273641,166.4,0.9870219590426844
27.9,10.69,169.7,0.9865284974093265,27.9,7.679429880862284,169.7,0.9865284974093265
28.3,9.91,170.3,0.9859363434492968,28.3,7.119097298348479,170.3,0.9859363434492968
28.8,8.866,167.2,0.9854428818159389,28.8,6.369113687906923,167.2,0.9854428818159389
29.4,9.684,164.3,0.9849494201825808,29.4,6.956744524440632,164.3,0.9849494201825808
29.9,11.869,168.8,0.9843572662225512,29.9,8.526394130585075,168.8,0.9843572662225512
30.0,13.25,170.3,0.9841598815692081,30.0,9.518470151676825,170.3,0.9841598815692081
29.8,12.922,175.9,0.9842585738958796,29.8,9.282843116978713,175.9,0.9842585738958796
29.5,12.576,179.8,0.9842585738958796,29.5,9.034285330376436,179.8,0.9842585738958796
28.7,11.61,183.4,0.9845546508758944,28.7,8.34033497818626,183.4,0.9845546508758944
27.4,11.106,186.5,0.9849494201825808,27.4,7.978273924869648,186.5,0.9849494201825808
26.1,10.941,180.5,0.9853441894892672,26.1,7.859742032414805,180.5,0.9853441894892672
25.4,12.307,179.5,0.9854428818159389,25.4,8.841042426919751,179.5,0.9854428818159389
25.3,11.989,177.2,0.9853441894892672,25.3,8.612599143279509,177.2,0.9853441894892672
25.2,11.939,169.9,0.9852454971625956,25.2,8.57668038799016,169.9,0.9852454971625956
25.0,9.942,159.0,0.9850481125092524,25.0,7.142085301733661,159.0,0.9850481125092524
24.7,9.619,151.6,0.9849494201825808,24.7,6.910050142564483,151.6,0.9849494201825808
24.4,9.46,159.7,0.9847520355292375,24.4,6.795828500744361,159.7,0.9847520355292375
24.1,10.133,159.4,0.9848507278559092,24.1,7.279294946938965,159.4,0.9848507278559092
23.9,10.003,157.3,0.9852454971625956,23.9,7.185906183186664,157.3,0.9852454971625956
23.8,9.474,154.1,0.9857389587959535,23.8,6.805885752225377,154.1,0.9857389587959535
24.8,9.184,144.7,0.9860350357759684,24.8,6.597556971547167,144.7,0.9860350357759684
