Longitude:119.75,Longitude:119.75,Longitude:119.75,Longitude:119.75,Longitude:119.75,Longitude:119.75,Longitude:119.75,Longitude:119.75,Longitude:119.75,Longitude:119.75,Longitude:119.75,Longitude:119.75,Longitude:119.75,Longitude:119.75,Longitude:119.75,Longitude:119.75
Latitude:-23.35,Latitude:-23.35,Latitude:-23.35,Latitude:-23.35,Latitude:-23.35,Latitude:-23.35,Latitude:-23.35,Latitude:-23.35,Latitude:-23.35,Latitude:-23.35,Latitude:-23.35,Latitude:-23.35,Latitude:-23.35,Latitude:-23.35,Latitude:-23.35,Latitude:-23.35
Temperature,Speed,Direction,Pressure,Temperature,Speed,Direction,Pressure,Temperature,Speed,Direction,Pressure,Temperature,Speed,Direction,Pressure
C,m/s,degrees,atm,C,m/s,degrees,atm,C,m/s,degrees,atm,C,m/s,degrees,atm
10,10,10,10,40,40,40,40,70,70,70,70,100,100,100,100
33.6,6.8,45,0.9244510239328892,33.6,7.962120026559233,45,0.9244510239328892,33.6,8.431241688291388,45,0.9244510239328892,33.6,8.730239582929183,45,0.9244510239328892
32.8,7.1,39,0.9245497162595607,32.8,8.313390027730964,39,0.9245497162595607,32.8,8.803208233363067,39,0.9245497162595607,32.8,9.115397211587823,39,0.9245497162595607
31.9,7.0,35,0.9249444855662473,31.9,8.196300027340389,35,0.9249444855662473,31.9,8.67921938500584,35,0.9249444855662473,31.9,8.987011335368278,35,0.9249444855662473
31.1,6.9,32,0.9253392548729337,31.1,8.079210026949811,32,0.9253392548729337,31.1,8.555230536648615,32,0.9253392548729337,31.1,8.85862545914873,32,0.9253392548729337
31.2,7.2,35,0.92573402417962,31.2,8.430480028121542,35,0.92573402417962,31.2,8.927197081720294,35,0.92573402417962,31.2,9.24378308780737,35,0.92573402417962
32.1,7.7,41,0.9260301011596348,32.1,9.015930030074426,41,0.9260301011596348,32.1,9.547141323506427,41,0.9260301011596348,32.1,9.885712468905105,41,0.9260301011596348
33.1,8.4,46,0.9263261781396497,33.1,9.835560032808464,46,0.9263261781396497,33.1,10.41506326200701,46,0.9263261781396497,33.1,10.784413602441933,46,0.9263261781396497
34.1,8.9,49,0.9264248704663213,34.1,10.42101003476135,49,0.9264248704663213,34.1,11.035007503793143,49,0.9264248704663213,34.1,11.426342983539667,49,0.9264248704663213
35.2,9.4,50,0.9263261781396497,35.2,11.006460036714234,50,0.9263261781396497,35.2,11.654951745579273,50,0.9263261781396497,35.2,12.068272364637401,50,0.9263261781396497
36.3,9.9,51,0.9262274858129781,36.3,11.591910038667121,51,0.9262274858129781,36.3,12.274895987365404,51,0.9262274858129781,36.3,12.710201745735136,51,0.9262274858129781
37.1,10.2,51,0.9259314088329633,37.1,11.943180039838849,51,0.9259314088329633,37.1,12.646862532437083,51,0.9259314088329633,37.1,13.095359374393775,51,0.9259314088329633
37.8,10.2,50,0.9254379471996053,37.8,11.943180039838849,50,0.9254379471996053,37.8,12.646862532437083,50,0.9254379471996053,37.8,13.095359374393775,50,0.9254379471996053
38.4,10.2,49,0.9250431778929188,38.4,11.943180039838849,49,0.9250431778929188,38.4,12.646862532437083,49,0.9250431778929188,38.4,13.095359374393775,49,0.9250431778929188
38.2,9.9,48,0.924747100912904,38.2,11.591910038667121,48,0.924747100912904,38.2,12.274895987365404,48,0.924747100912904,38.2,12.710201745735136,48,0.924747100912904
37.5,9.4,46,0.924747100912904,37.5,11.006460036714234,46,0.924747100912904,37.5,11.654951745579273,46,0.924747100912904,37.5,12.068272364637401,46,0.924747100912904
36.8,8.8,44,0.924747100912904,36.8,10.303920034370773,44,0.924747100912904,36.8,10.911018655435916,44,0.924747100912904,36.8,11.297957107320121,44,0.924747100912904
