country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Darwin,8,-12.4637,130.8444,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2021,1,1,0,0,28.2,-154,76,25.2,0,0,0,0,0,1006.7,263,3.6,140,,
2021,1,1,1,0,28.2,-138,72.9,24.9,0,0,0,0,0,1006.7,257,3.4,132,,
2021,1,1,2,0,28,-127,95.6,24.6,0,0,0,0,0,1006.9,246,2.8,121,,
2021,1,1,3,0,27.8,-120,54.2,24.5,0,0,0,0,0,1007.2,241,2.3,109,,
2021,1,1,4,0,27.7,-115,16.2,24.5,0,0,0,0,0,1007.8,228,2.2,96,,
2021,1,1,5,0,27.7,-112,13.2,24.7,51,86,17,68,0,1008.3,209,2.4,83,,
2021,1,1,6,0,28.4,-110,2.3,25,100,494,184,284,0,1008.8,200,2.1,69,,
2021,1,1,7,0,29.6,-110,0,25.1,119,699,400,519,0,1009.3,229,1.8,55,,
2021,1,1,8,0,30.4,-111,5.7,25.2,194,656,485,678,0,1009.3,258,2.5,41,,
2021,1,1,9,0,31,-117,14.1,25.1,319,494,435,753,0,1008.7,261,2.7,28,,
2021,1,1,10,0,31.6,-136,7.8,25,260,662,635,894,0,1008,261,3.1,16,,
2021,1,1,11,0,31.6,168,8.4,25.1,269,654,640,909,0,1007,265,4.1,12,,
2021,1,1,12,0,31.4,126,7.2,25.3,246,671,630,876,0,1006.2,264,4.7,20,,
2021,1,1,13,0,30.9,114,26.8,25.1,376,270,235,610,0,1006.1,255,4.5,33,,
2021,1,1,14,0,30.3,110,68.5,24.9,211,0,0,211,0,1006.2,255,4.3,46,,
2021,1,1,15,0,30,110,80.4,25.1,86,0,0,86,0,1006.3,253,4.1,60,,
2021,1,1,16,0,29.7,111,65.7,25.1,71,0,0,71,0,1006.9,250,3.4,74,,
2021,1,1,17,0,29.3,113,46.5,24.9,11,0,0,11,0,1007.3,260,3,88,,
2021,1,1,18,0,29,117,96.1,24.7,0,0,0,0,0,1007.6,269,3,101,,
2021,1,1,19,0,28.8,122,97,24.6,0,0,0,0,0,1008,275,2.9,114,,
2021,1,1,20,0,28.7,131,97,24.6,0,0,0,0,0,1008.3,277,3,125,,
2021,1,1,21,0,28.7,143,97,24.7,0,0,0,0,0,1008.4,277,3.1,135,,
2021,1,1,22,0,28.7,162,97,24.7,0,0,0,0,0,1008,282,2.8,142,,
2021,1,1,23,0,28.7,-176,97,24.6,0,0,0,0,0,1007.2,297,2.4,144,,
2021,1,2,0,0,28.6,-154,97,24.5,0,0,0,0,0,1006.2,307,2.3,140,,
2021,1,2,1,0,28.5,-138,96.7,24.4,0,0,0,0,0,1005.9,299,2.3,132,,
2021,1,2,2,0,28.4,-127,92.4,24.5,0,0,0,0,0,1006.1,284,2.8,121,,
2021,1,2,3,0,28.4,-120,93,24.7,0,0,0,0,0,1006.4,274,3.3,109,,
2021,1,2,4,0,28.3,-115,50.1,24.8,0,0,0,0,0,1007,265,3.8,96,,
2021,1,2,5,0,28.6,-112,22.4,25.2,50,100,20,70,0,1007.6,262,4.2,83,,
2021,1,2,6,0,29.4,-110,16.7,25.7,139,303,111,250,0,1008,265,4.6,69,,
2021,1,2,7,0,30.3,-110,0.4,26,102,746,425,527,0,1008.2,271,5.1,55,,
2021,1,2,8,0,30.8,-111,2,26,133,777,583,716,0,1008.3,274,5.3,42,,
2021,1,2,9,0,31.3,-116,0,25.9,121,867,763,884,0,1007.9,272,5.2,28,,
2021,1,2,10,0,31.8,-136,0,25.5,129,884,848,977,0,1007.2,272,5.1,16,,
