country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Gladstone,10,-23.938314,151.167618,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2014,1,1,0,0,25.2,-170,0,22.8,0,0,0,0,0,993.4,42.3,4.656,132,,
2014,1,1,1,0,25,-153,0,22.7,0,0,0,0,0,993.5,41.3,4.275,127,,
2014,1,1,2,0,24.9,-139,0,22.6,0,0,0,0,0,993.6,47.8,4.14,120,,
2014,1,1,3,0,24.8,-129,0,22.5,0,0,0,0,0,993.7,48.3,3.628,110,,
2014,1,1,4,0,24.7,-120,0.8,22.3,1,0,0,1,0,994.1,73.1,3.717,99,,
2014,1,1,5,0,24.7,-114,28.9,22,29,0,0,29,0,994.8,70.8,3.265,86,,
2014,1,1,6,0,24.7,-109,41.2,21.8,128,0,0,128,0,995.6,82.7,4.541,74,,
2014,1,1,7,0,25.2,-104,39.8,21.8,267,0,0,267,0,995.9,92,5.551,61,,
2014,1,1,8,0,26.1,-100,42.8,22,372,6,5,378,0,995.9,92.1,6.047,47,,
2014,1,1,9,0,27.1,-96,25.9,22.2,429,236,206,635,0,995.8,85.9,5.285,34,,
2014,1,1,10,0,27.5,-92,9.6,22.2,381,521,492,873,0,995.7,74.7,5.13,20,,
2014,1,1,11,0,27.4,-76,2,21.9,274,739,731,1005,0,995.5,67,6.912,7,,
2014,1,1,12,0,27.3,71,0,21.6,237,797,785,1022,0,995.3,65.9,7.687,9,,
2014,1,1,13,0,27.2,92,0,21.4,242,759,704,946,0,995.1,67.4,7.584,21,,
2014,1,1,14,0,27,97,0.3,21.4,235,698,573,807,0,994.9,72.9,8.142,35,,
2014,1,1,15,0,26.9,100,11.1,21.3,297,374,265,563,0,994.7,77,8.078,48,,
2014,1,1,16,0,26.6,104,31.4,21.3,246,76,45,291,0,994.8,80.7,8.361,62,,
2014,1,1,17,0,26.1,109,21.1,21.3,127,57,11,138,0,995.2,80.2,8.536,75,,
