country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Kerang,0,-35.73,143.87,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2022,1,1,0,0,31,-71,0,1.9,97,1004,882,979,0,1005.6,343.7,5.195,28,,
2015,1,1,1,0,32.9,-47,0,0.2,100,1017,967,1067,0,1005.4,340.5,4.658,18,,
2015,1,1,2,0,33.7,2,0,-1.2,104,1015,988,1092,0,1004.9,331.1,3.933,13,,
2015,1,1,3,0,34.3,50,9.5,-2.1,257,734,697,954,0,1004.2,317,3.605,19,,
2015,1,1,4,0,34.3,73,23.1,-1.6,411,370,323,733,0,1003.7,312.2,3.934,29,,
2015,1,1,5,0,34.4,85,23.4,-1,357,343,257,614,0,1003.2,309.3,4.39,41,,
2015,1,1,6,0,34.3,94,15.4,-1.1,225,493,291,516,0,1002.9,312.9,3.542,53,,
2015,1,1,7,0,34,102,13.1,-1.6,149,473,196,345,0,1003,1.9,2.431,66,,
2015,1,1,8,0,33.4,109,22.1,-2.1,98,188,49,147,0,1003.3,348.4,3.606,77,,
2015,1,1,9,0,31.1,118,15.2,-0.1,18,10,1,19,0,1003.9,219.6,0.986,88,,
2015,1,1,10,0,28,127,0,3.2,0,0,0,0,0,1004.7,255.2,2.261,99,,
2015,1,1,11,0,25.6,138,0,5.3,0,0,0,0,0,1005.1,256.1,3.29,108,,
2015,1,1,12,0,24.2,150,0,6.8,0,0,0,0,0,1005.2,265.1,2.55,115,,
2015,1,1,13,0,23.8,165,0,7.1,0,0,0,0,0,1005.2,277.9,1.069,119,,
