country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Pilbara,7,-22.11904,119.82754,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,28.1,-154,0,10.5,0,0,0,0,0,957,309.8,10.795,130,,
2015,1,1,1,0,27.4,-140,0,11.2,0,0,0,0,0,956.9,293.3,10.869,122,,
2015,1,1,2,0,26.8,-129,0,11.5,0,0,0,0,0,957,284.5,11.671,112,,
2015,1,1,3,0,26.3,-121,0,11.7,1,6,1,1,0,957.1,277.3,12.682,101,,
2015,1,1,4,0,27.3,-115,0,12.1,21,233,25,46,0,957.2,268.2,10.923,88,,
2015,1,1,5,0,29.5,-110,0,12.6,54,594,168,222,0,957.5,274.6,10.553,75,,
2015,1,1,6,0,31.9,-105,0,13,76,818,386,462,0,957.8,283.8,9.02,62,,
2015,1,1,7,0,33.9,-102,0,12.3,88,920,604,693,0,957.7,316.9,6.249,49,,
2015,1,1,8,0,35.8,-99,0,10.8,96,974,791,887,0,957.3,321.1,5.713,35,,
2015,1,1,9,0,37.6,-98,0,9.2,100,1004,928,1029,0,956.8,316,6.856,21,,
2015,1,1,10,0,38.8,-104,0,8.2,103,1018,1002,1104,0,956.2,313,6.684,8,,
2015,1,1,11,0,39.5,118,0.1,7.6,106,1014,1000,1106,0,955.5,315.5,7.426,8,,
2015,1,1,12,0,40.1,98,4.8,7.1,201,841,789,990,0,954.7,315.9,6.417,20,,
2015,1,1,13,0,40.2,99,6,6.7,212,770,635,847,0,954.2,320.6,6.118,34,,
2015,1,1,14,0,40,102,12.4,6.5,247,544,380,627,0,953.9,320.2,5.227,47,,
2015,1,1,15,0,39.7,105,25.6,6.4,261,181,104,364,0,953.6,320.8,4.781,61,,
2015,1,1,16,0,38.7,109,20.6,6.9,145,164,37,182,0,953.9,326.2,5.599,74,,
2015,1,1,17,0,37.1,114,49.5,8,30,73,15,45,0,954.6,328,7.391,87,,
2015,1,1,18,0,35.5,120,46.2,9.2,0,0,0,0,0,955.3,324.1,9.573,100,,
2015,1,1,19,0,34.3,128,28.9,10.7,0,0,0,0,0,955.9,312.5,11.434,111,,
2015,1,1,20,0,33.4,139,8.5,12.4,0,0,0,0,0,956.3,309.6,11.584,121,,
2015,1,1,21,0,32.5,152,0,14.1,0,0,0,0,0,956.6,288.4,9.53,129,,
2015,1,1,22,0,31.5,170,0,15.4,0,0,0,0,0,956.6,304.7,9.034,134,,
2015,1,1,23,0,30.3,-171,0,16.5,0,0,0,0,0,956.3,292,9.112,134,,
2015,1,2,0,0,29.2,-154,0,17.4,0,0,0,0,0,955.9,295.8,10.728,130,,
2015,1,2,1,0,28.3,-140,0,18,0,0,0,0,0,955.9,295.6,10.276,122,,
2015,1,2,2,0,27.6,-129,0,18.4,0,0,0,0,0,956,286,10.083,112,,
2015,1,2,3,0,27,-121,0,18.7,1,5,0,1,0,956.2,282.8,10.694,101,,
2015,1,2,4,0,27.8,-115,0,18.9,22,184,20,42,0,956.4,285.5,11.65,89,,
2015,1,2,5,0,29.7,-110,0.1,19.1,61,524,149,210,0,956.7,283.3,11.993,76,,
2015,1,2,6,0,31.6,-105,2.6,19.2,116,682,317,433,0,957,287.8,7.709,62,,
2015,1,2,7,0,33.5,-102,1.3,18,116,833,552,668,0,957,287,5.789,49,,
2015,1,2,8,0,35.4,-99,0,15.8,109,935,759,868,0,956.7,292.9,5.067,35,,
2015,1,2,9,0,37.3,-97,0.3,13.5,118,962,888,1006,0,956.3,296.1,4.742,22,,
2015,1,2,10,0,38.3,-103,10.1,12,321,668,653,974,0,955.8,288.1,4.527,8,,
2015,1,2,11,0,38.7,116,30.7,11.1,579,177,177,756,0,955.2,285.8,5.122,8,,
2015,1,2,12,0,39,97,53.8,10.3,475,2,2,476,0,954.5,284.1,4.305,20,,
2015,1,2,13,0,38.9,99,54.1,9.9,403,0,0,403,0,954.1,302.2,4.116,34,,
2015,1,2,14,0,38.6,102,61.6,9.9,274,0,0,274,0,953.9,309.8,4.714,47,,
2015,1,2,15,0,38.1,105,50.8,10,217,2,0,217,0,953.7,311,5.453,61,,
2015,1,2,16,0,37.2,109,27.9,10.6,143,63,13,156,0,953.9,311.6,6.175,74,,
2015,1,2,17,0,35.8,114,23.2,11.5,34,32,6,41,0,954.4,308.6,7.807,87,,
2015,1,2,18,0,34.5,120,8.3,12.5,0,0,0,0,0,955,315,11.046,99,,
2015,1,2,19,0,33.4,128,0,13.4,0,0,0,0,0,955.5,317.5,14.459,111,,
2015,1,2,20,0,32.6,138,0,14.3,0,0,0,0,0,955.8,315.6,12.803,121,,
2015,1,2,21,0,31.8,152,0,15.2,0,0,0,0,0,956.1,305.8,12.647,129,,
2015,1,2,22,0,31,169,0,16.3,0,0,0,0,0,956.1,293.8,12.882,134,,
2015,1,2,23,0,30.2,-172,0,17.4,0,0,0,0,0,955.9,278.9,12.595,134,,
2015,1,3,0,0,29.3,-154,0,18.5,0,0,0,0,0,955.6,267,11.084,130,,
2015,1,3,1,0,28.7,-140,0,19.3,0,0,0,0,0,955.6,271.9,11.052,122,,
2015,1,3,2,0,28.1,-129,0,19.8,0,0,0,0,0,955.8,285.8,11.169,112,,
2015,1,3,3,0,27.5,-121,0,20.3,1,4,0,1,0,956.1,288.7,9.833,101,,
2015,1,3,4,0,28.5,-115,0,20.6,22,171,18,40,0,956.4,283,8.78,89,,
