country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,7,-32.500496,115.957947,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,18.9,-161,0,11.6,0,0,0,0,0,993.8,105.7,24.356,121,,
2015,1,1,1,0,18.1,-146,0,11.5,0,0,0,0,0,993.7,103.5,24.138,116,,
2015,1,1,2,0,17.4,-134,0,11.5,0,0,0,0,0,993.9,102.1,23.867,108,,
2015,1,1,3,0,16.8,-124,0,11.4,0,5,1,1,0,994,100.1,24.202,98,,
2015,1,1,4,0,17.3,-116,2.1,11.6,23,272,34,57,0,994.2,97.9,24.128,87,,
2015,1,1,5,0,18.6,-108,3.5,11.9,61,584,160,221,0,994.5,95.4,23.558,75,,
2015,1,1,6,0,19.9,-102,1.3,12.1,69,828,382,451,0,994.8,93.9,21.515,63,,
2015,1,1,7,0,21.3,-95,0,12,70,957,605,675,0,994.6,96.6,12.194,51,,
2015,1,1,8,0,22.6,-86,0,11.5,76,1009,789,865,0,994.2,95.6,11.172,38,,
2015,1,1,9,0,23.9,-74,0,11,81,1036,928,1009,0,993.7,96.8,7.864,26,,
2015,1,1,10,0,25,-47,0,10.6,86,1045,1006,1092,0,993.2,109.2,3.47,15,,
2015,1,1,11,0,26,15,0,10.2,91,1041,1020,1110,0,992.6,150.7,1.92,12,,
2015,1,1,12,0,27,60,0,9.9,92,1030,972,1063,0,992,202.7,2.407,19,,
2015,1,1,13,0,27.2,80,0,9.9,88,1010,866,954,0,991.6,215.7,5.249,30,,
2015,1,1,14,0,26.9,90,0,10,81,974,710,791,0,991.4,232.1,8.763,43,,
2015,1,1,15,0,26.5,97,0,10.2,73,910,515,588,0,991.1,216.9,8.129,56,,
2015,1,1,16,0,25.2,104,0,10.8,60,791,302,362,0,991.2,215.4,9.639,68,,
2015,1,1,17,0,23.3,111,0,11.8,38,531,108,146,0,991.6,203.5,10.317,80,,
2015,1,1,18,0,21.3,119,0,12.8,10,149,15,25,0,992.1,200.1,9.909,91,,
2015,1,1,19,0,20.1,128,0,13.2,0,0,0,0,0,992.3,198.4,10.045,102,,
2015,1,1,20,0,19.5,139,0,13.1,0,0,0,0,0,992.4,192.5,8.021,111,,
2015,1,1,21,0,18.9,152,0,12.9,0,0,0,0,0,992.5,178.8,10.053,118,,
2015,1,1,22,0,18.3,167,0.2,12.8,0,0,0,0,0,992.4,162,9.255,123,,
2015,1,1,23,0,17.7,-177,9.3,12.8,0,0,0,0,0,992.1,148.6,9.135,124,,
2015,1,2,0,0,17.1,-161,38.4,12.8,0,0,0,0,0,991.8,146.5,8.713,121,,
2015,1,2,1,0,16.7,-147,51.9,12.8,0,0,0,0,0,991.8,148.5,8.707,116,,
2015,1,2,2,0,16.4,-134,51.6,12.7,0,0,0,0,0,992,146.8,8.884,108,,
2015,1,2,3,0,16.1,-124,50.9,12.6,1,0,0,1,0,992.2,145.6,8.752,98,,
2015,1,2,4,0,16.6,-116,33.5,12.8,40,5,1,40,0,992.6,145.1,8.219,87,,
2015,1,2,5,0,17.6,-108,30.6,13.1,143,3,0,144,0,993.1,146.6,7.403,76,,
2015,1,2,6,0,18.6,-102,46.4,13.6,222,0,0,222,0,993.7,144.5,6.352,63,,
2015,1,2,7,0,19.7,-95,49.8,13.7,326,0,0,326,0,993.9,139.3,4.214,51,,
2015,1,2,8,0,20.9,-86,48.7,13.6,424,0,0,424,0,993.8,166.1,2.604,38,,
2015,1,2,9,0,22.1,-74,47.1,13.5,510,2,2,512,0,993.7,191.7,3.012,26,,
2015,1,2,10,0,22.8,-47,36.3,13.5,592,81,79,671,0,993.5,202,3.814,15,,
2015,1,2,11,0,23.3,14,48.7,13.7,502,49,47,549,0,993.1,203.6,5.078,12,,
