country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-32.944149,137.454071,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,20.2,-170,0,15,0,0,0,0,0,996,152,9.09,152,,
2015,1,1,1,0,19.6,-154,0,15.4,0,0,0,0,0,995.6,148.7,7.974,148.7,,
2015,1,1,2,0,19,-141,0,15.7,0,0,0,0,0,995.1,147.1,7.576,147.1,,
2015,1,1,3,0,18.8,-130,0.6,16,0,0,0,0,0,995.1,145.6,6.608,145.6,,
2015,1,1,4,0,18.9,-121,30.5,16.2,2,0,0,2,0,995.5,147.8,5.768,147.8,,
2015,1,1,5,0,19.1,-113,46.9,16.4,59,0,0,59,0,995.8,148.8,5.818,148.8,,
2015,1,1,6,0,20.8,-105,56.3,16.1,130,0,0,130,0,996,146.7,5.737,146.7,,
2015,1,1,7,0,23.7,-98,66.6,15.4,176,2,1,177,0,996.1,142.4,5.648,142.4,,
2015,1,1,8,0,26.7,-91,44.1,14.7,373,83,63,436,0,996.1,140.6,4.574,140.6,,
2015,1,1,9,0,28.8,-81,29.6,13.3,526,141,120,645,0,995.9,174.9,9.284,174.9,,
2015,1,1,10,0,30.2,-65,10.7,11.3,286,675,643,930,0,995.4,171.5,9.583,171.5,,
2015,1,1,11,0,31.5,-21,2,9.2,183,909,885,1068,0,994.9,171.5,10.277,171.5,,
2015,1,1,12,0,32.7,36,1.1,7.3,164,935,905,1070,0,994.3,172.9,10.667,172.9,,
2015,1,1,13,0,33.8,70,0,5.3,137,957,872,1009,0,993.7,174,10.873,174,,
2015,1,1,14,0,34.8,84,0,3.4,125,933,752,877,0,993,177.1,11.747,177.1,,
2015,1,1,15,0,35,93,0,3.3,102,904,598,700,0,992.7,178.2,12.804,178.2,,
2015,1,1,16,0,34.7,100,0,4.6,83,827,405,487,0,992.5,180.9,14.062,180.9,,
2015,1,1,17,0,34.3,107,0,6,62,659,201,263,0,992.3,184.1,14.271,184.1,,
2015,1,1,18,0,32.7,114,0,7.8,24,227,48,71,0,992.6,184.2,14.627,184.2,,
2015,1,1,19,0,30.2,123,0,9.8,3,9,1,3,0,993,178.1,15.36,178.1,,
2015,1,1,20,0,27.6,133,0,11.8,0,0,0,0,0,993.5,171.1,13.999,171.1,,
2015,1,1,21,0,26,144,0,12.8,0,0,0,0,0,993.7,170.5,14.831,170.5,,
2015,1,1,22,0,25.2,158,0,13,0,0,0,0,0,993.5,172.7,14.899,172.7,,
2015,1,1,23,0,24.6,174,0,13.2,0,0,0,0,0,993.4,171.9,14.354,171.9,,
2015,1,2,0,0,24.3,-170,0,13,0,0,0,0,0,993.2,168.5,13.266,168.5,,
2015,1,2,1,0,24.3,-154,0,12.7,0,0,0,0,0,993,168.5,12.564,168.5,,
2015,1,2,2,0,24.3,-141,0,12.4,0,0,0,0,0,992.8,167.7,11.905,167.7,,
2015,1,2,3,0,24.4,-130,0,12,0,0,0,0,0,993,167.5,11.923,167.5,,
2015,1,2,4,0,24.6,-121,0.1,11.7,2,9,1,4,0,993.4,168.4,12.145,168.4,,
2015,1,2,5,0,24.8,-113,4.6,11.4,47,291,61,108,0,993.9,166.9,12.264,166.9,,
2015,1,2,6,0,26.4,-105,5.7,10.9,94,596,213,307,0,994.3,165.7,11.407,165.7,,
